title,description,source_url,ingredients,steps,image
Vendha Kollu,"Vendha Kollu is a traditional vegetarian dish from Puducherry, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/vendha-kollu,"300g Main vegetable or grain | 1piece Onion, chopped | 1piece Tomato, chopped | 30ml Oil or ghee | 5g Mustard seeds | 3g Turmeric powder | 5g Red chilli powder | 8g Salt | 15g Fresh coriander leaves","Wash and prepare all vegetables or grains as needed. | Heat oil or ghee in a pan. Add mustard seeds and let them splutter. | Add onions and cook until translucent. | Add tomatoes if used, cook until soft. | Add spices — turmeric, red chilli powder, and salt. | Add the main ingredient and mix well with the masala. | Cook covered on low heat until tender, stirring occasionally. | Garnish with fresh coriander and serve hot.",/images/dishes/vendha-kollu.jpg
Tuna Thoran,"Tuna Thoran is a traditional non-vegetarian dish from Lakshadweep, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/tuna-thoran,"500g Protein (chicken/mutton/fish/prawn) | 2piece Onion, finely sliced | 2piece Tomatoes, chopped | 30g Ginger-garlic paste | 60ml Oil | 4g Turmeric powder | 8g Red chilli powder | 8g Coriander powder | 5g Garam masala | 10g Salt | 20g Fresh coriander leaves","Clean and marinate the protein with turmeric, salt, and half the red chilli powder for 20 minutes. | Heat oil in a heavy pan. Add onions and fry until golden brown. | Add ginger-garlic paste and cook for 2 minutes until the raw smell disappears. | Add tomatoes and cook until they soften and oil begins to separate. | Add remaining spices — coriander powder, remaining chilli powder, garam masala. | Add the marinated protein and stir well to coat with the masala. | Cook on high heat for 5 minutes, then reduce to medium and cook until done. | Add water if needed for gravy consistency. Simmer for 10 minutes. | Finish with fresh coriander leaves and serve hot.",/images/dishes/tuna-thoran.jpg
Tsampa,"Tsampa is a traditional vegetarian dish from Ladakh, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/tsampa,"300g Roasted barley flour (tsampa) | 200ml Butter tea (po cha) or regular butter | 40g Yak butter or regular butter | 3g Salt | 30g Dried cheese (chhurpi), crumbled (optional) | 40g Dried apricots, chopped (optional)","To make butter tea (po cha) for mixing: brew strong black tea, add salt and yak butter (or regular butter), and churn vigorously until emulsified. Alternatively, use warm salted butter milk. | Place the roasted barley flour (tsampa) in a wide, deep bowl. Make a well in the centre. | Pour warm butter tea or warm salted butter into the well of the flour. Start with a small amount — about 100 ml. | Using your fingers, begin mixing the flour and liquid together in a circular motion, gradually incorporating more flour from the edges. | Continue adding butter tea gradually, kneading and mixing with your fingers until the mixture comes together into a stiff, dough-like consistency that can be shaped. | Knead the mixture in the bowl using your fingers and palm, pressing and folding, until it forms a smooth, cohesive ball. The traditional technique involves rolling the mixture against the side of the bowl. | Add crumbled dried cheese (chhurpi) and chopped dried apricots if using. Knead them into the tsampa ball. | Shape into small balls or a single large ball. Tsampa is eaten directly from the hand — pinch off pieces and eat. | Alternatively, tsampa can be mixed into a porridge consistency by adding more butter tea until it reaches a thick, smooth paste. Serve in bowls. | Serve immediately as a portable, energy-dense meal or snack.",/images/dishes/tsampa.jpg
Yakhni,"Yakhni is a traditional non-vegetarian dish from Jammu And Kashmir, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/yakhni,"750g Mutton (bone-in pieces) | 400g Plain yogurt, whisked | 15g Fennel powder | 5g Dry ginger powder (saunth) | 6piece Green cardamom | 2piece Black cardamom | 5piece Cloves | 5g Cinnamon stick | 2piece Bay leaf | 5g Cumin seeds | 40ml Mustard oil | 12g Salt | 750ml Water","Wash the mutton pieces thoroughly and drain well. | Heat mustard oil in a heavy-bottomed pot until it reaches smoking point, then reduce the heat. | Add cumin seeds, bay leaves, green cardamom, black cardamom, cloves, and cinnamon. Sauté for 30 seconds until fragrant. | Add the mutton pieces and sear for 5–7 minutes, turning frequently. | Add water and salt. Bring to a boil, then reduce to a gentle simmer. | Cover and cook for 45–60 minutes until the mutton is nearly tender. | In a bowl, whisk the yogurt until completely smooth. | Add the fennel powder and dry ginger powder to the yogurt and mix well. | Reduce the heat to low. Gradually add the yogurt mixture to the pot, stirring continuously to prevent curdling. | Simmer gently for 15–20 minutes without allowing the curry to boil vigorously. | Continue cooking until the mutton is fully tender and the gravy becomes smooth and aromatic. | Taste and adjust salt if necessary. | Rest for 10 minutes before serving. | Serve hot with steamed rice.",/images/dishes/yakhni.jpg
Tandoori Roti,"Tandoori Roti is a traditional vegetarian dish from Delhi, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/tandoori-roti,"400g Whole wheat flour | 220ml Water, warm | 40g Butter or ghee | 5g Salt | 10ml Oil","Combine whole wheat flour and salt. Gradually add warm water, kneading until a smooth, elastic dough forms, about 8 minutes. | Add oil and knead for another 2 minutes. Cover with damp cloth and rest 20 minutes. | Divide dough into 8 balls. Roll each into a thick disc, about 15 cm in diameter. | If using a tandoor: stick the roti onto the inside wall of a preheated tandoor. Cook for 2–3 minutes until brown spots appear and the roti puffs slightly. | If using a stovetop: heat a cast-iron tawa until very hot. Place roti on it. When bubbles form, flip and cook. Then place the tawa-cooked roti directly over the gas flame using tongs and cook until dark spots appear. | Apply butter or ghee generously while hot. | Serve immediately.",/images/dishes/tandoori-roti.jpg
Shakarkandi Chaat,"Shakarkandi Chaat is a traditional vegan dish from Delhi, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/shakarkandi-chaat,600g Sweet potatoes | 30ml Lemon juice | 10g Chaat masala | 5g Roasted cumin powder | 5g Red chilli powder | 5g Black salt | 20g Fresh coriander leaves | 60ml Green chutney | 40ml Tamarind chutney | 50g Pomegranate seeds,"Roast sweet potatoes directly over a gas flame or in an oven at 200°C until the skin chars and the inside is tender, about 25–30 minutes. | Alternatively, pressure cook sweet potatoes for 3–4 whistles. Peel and cube. | Peel the roasted sweet potatoes and cut into bite-sized cubes. | Place in a mixing bowl. Add lemon juice, black salt, chaat masala, cumin powder, and red chilli powder. | Toss gently to coat evenly. | Transfer to a serving plate. | Drizzle green chutney and tamarind chutney over the sweet potato cubes. | Sprinkle pomegranate seeds and chopped coriander on top. | Serve immediately while still warm.",/images/dishes/shakarkandi-chaat.jpg
Shahi Tukda,"Shahi Tukda is a traditional dessert dish from Delhi, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/shahi-tukda,"8piece White bread slices | 1000ml Full-fat milk | 150g Sugar | 100ml Ghee for frying | 0.5g Saffron strands | 5g Cardamom powder | 10ml Kewra water | 10ml Rose water | 30g Pistachios, slivered | 30g Almonds, slivered | 100ml Sugar syrup","Make rabri: bring milk to boil in a wide, heavy pan. Reduce heat and simmer, stirring frequently, until milk reduces to one-third its volume and thickens. Add sugar, saffron, cardamom, kewra, and rose water. Stir well. Cool slightly. | Remove crusts from bread slices. Cut each slice diagonally into two triangles. | Heat ghee in a shallow pan. Fry bread triangles until deep golden and crispy on both sides. | Drain on paper towels. | Make a simple sugar syrup: dissolve 100g sugar in 100 ml water and bring to one-string consistency. | Dip each fried bread piece briefly in warm sugar syrup to coat lightly. | Arrange the bread pieces on a serving dish. | Pour warm rabri generously over the fried bread. | Garnish with slivered pistachios and almonds. | Serve warm or chilled — both are delicious.",/images/dishes/shahi-tukda.jpg
Seekh Kebab,"Seekh Kebab is a traditional non-vegetarian dish from Delhi, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/seekh-kebab,"600g Minced lamb or mutton | 1piece Onion, grated and moisture squeezed | 30g Ginger-garlic paste | 3piece Green chillies, minced | 20g Fresh coriander, minced | 10g Mint leaves, minced | 10g Garam masala | 8g Red chilli powder | 5g Cumin powder | 5g Chaat masala | 30ml Oil | 10g Salt","Combine all ingredients in a large bowl. Mix thoroughly, kneading the mixture for 5 minutes to develop a sticky, cohesive texture. | Refrigerate the mixture for 30 minutes. | Divide into 8 portions. Mould each portion around a flat skewer, pressing and smoothing into a sausage shape, about 15 cm long. | Grill over a charcoal fire or on a very hot grill for 10–12 minutes, rotating regularly, until cooked through with light char marks. | Alternatively, cook under a preheated broiler for 8–10 minutes per side. | Brush with a little oil halfway through cooking. | Remove from skewers and serve on naan with sliced onion rings, lemon wedges, and green chutney.",/images/dishes/seekh-kebab.jpg
Ram Ladoo,"Ram Ladoo is a traditional snack dish from Delhi, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/ram-ladoo,"200g Moong dal, soaked 4 hours | 100g Chana dal, soaked 4 hours | 3piece Green chillies | 10g Ginger | 200g Radish, grated | 80ml Green chutney | 10g Chaat masala | 20ml Lemon juice | 20g Fresh coriander leaves | 500ml Oil for frying | 8g Salt","Drain soaked moong dal and chana dal. Grind together with green chillies and ginger to a coarse batter — do not add water or add only a splash. | Add salt and beat the batter well to make it fluffy and light. | Heat oil in a deep kadai over medium-high heat. | Drop spoonfuls of batter into hot oil forming irregular round fritters. | Fry until golden and crispy, about 4–5 minutes. Drain on paper towels. | Mix grated radish with a pinch of salt and let it rest for 5 minutes. Squeeze out water. | Arrange fried ladoos in a plate. Top with squeezed grated radish. | Drizzle green chutney generously. | Squeeze lemon juice over the top. | Sprinkle chaat masala and chopped coriander. Serve immediately.",/images/dishes/ram-ladoo.jpg
Phirni,"Phirni is a traditional dessert dish from Delhi, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/phirni,"1000ml Full-fat milk | 60g Basmati rice, soaked and coarsely ground | 120g Sugar | 5g Cardamom powder | 0.5g Saffron strands | 15ml Rose water | 25g Pistachios, slivered | 25g Almonds, slivered | 2piece Silver varq (edible silver leaf)","Soak basmati rice for 30 minutes. Drain and coarsely grind — not to a fine powder, but a grainy texture. | Bring milk to a boil in a heavy-bottomed pan. | Dissolve the coarsely ground rice in a small amount of cold milk to make a lump-free slurry. | Add the rice slurry to the boiling milk, stirring constantly to prevent lumps. | Reduce heat to low and cook, stirring continuously, for 15–20 minutes until the mixture thickens to a creamy porridge consistency. | Add sugar and stir until dissolved. Cook for another 5 minutes. | Add cardamom powder, saffron, and rose water. Mix well. | Pour into traditional clay pots (shikora) or small bowls. | Chill in the refrigerator for at least 2 hours until set. | Before serving, garnish with slivered pistachios, almonds, and silver varq.",/images/dishes/phirni.jpg
Paranthe Wali Gali Paratha,"Paranthe Wali Gali Paratha is a traditional vegetarian dish from Delhi, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/paranthe-wali-gali-paratha,"400g Whole wheat flour | 300g Potatoes, boiled and mashed | 150g Paneer, grated | 3piece Green chillies, finely chopped | 20g Fresh coriander, chopped | 5g Carom seeds (ajwain) | 8g Red chilli powder | 5g Garam masala | 5g Dried mango powder (amchur) | 80ml Ghee | 10g Salt | 200ml Water","Mix whole wheat flour with carom seeds, a pinch of salt, and enough water to knead into a soft, smooth dough. Rest for 20 minutes covered with a damp cloth. | Combine mashed potatoes, grated paneer, green chillies, coriander, red chilli powder, garam masala, amchur, and salt to make the filling. | Divide dough into 8 equal balls. Roll each into a small disc. | Place a generous spoonful of filling in the center. Bring the edges together and seal. Gently flatten and roll into a thick paratha. | Heat a tawa (griddle) over medium heat. Place the paratha on it. | Cook for 2 minutes until small bubbles appear, then flip. | Apply ghee generously on both sides and cook until golden brown with crisp edges. | Press gently with a spatula to ensure even cooking. | Remove and serve hot with yogurt, pickles, and a dollop of white butter.",/images/dishes/paranthe-wali-gali-paratha.jpg
Paranthas,"Paranthas is a traditional vegetarian dish from Delhi, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/paranthas,"300g Whole wheat flour (atta) | 300g Potatoes, boiled and mashed | 80g Onion, finely chopped | 2piece Green chillies, finely chopped | 20g Fresh coriander leaves, chopped | 10g Ginger, grated | 4g Cumin seeds | 3g Carom seeds (ajwain) | 4g Red chilli powder | 3g Garam masala | 3g Amchur (dry mango powder) | 8g Salt | 80g Ghee or butter | 150ml Water","Make the dough: combine whole wheat flour, carom seeds, a pinch of salt, and 1 teaspoon of ghee in a bowl. Gradually add water and knead for 5–6 minutes into a smooth, soft, pliable dough. Cover with a damp cloth and rest for 20 minutes. | Prepare the aloo filling: in a bowl, combine the mashed potatoes, finely chopped onion, green chillies, grated ginger, coriander leaves, cumin seeds, red chilli powder, garam masala, amchur, and salt. Mix well until everything is evenly combined. Taste and adjust seasoning. | Divide the dough into 8 equal balls. Divide the filling into 8 equal portions as well. | Take one dough ball and flatten it slightly. Roll it into a small circle about 10 cm in diameter. Place one portion of the filling in the centre. | Bring the edges of the dough up around the filling and pinch them together firmly to seal, forming a stuffed ball. Gently flatten the stuffed ball with your palm. | Dust lightly with flour and roll out carefully into a circle about 18–20 cm in diameter. Roll gently and evenly — if the filling breaks through, patch it with a little dough. | Heat a tawa or flat griddle over medium-high heat. Place the parantha on the dry tawa and cook for 1–2 minutes until small bubbles appear on the surface. | Flip and cook the other side for 1–2 minutes. Apply a generous amount of ghee or butter on the cooked side. | Flip again and apply ghee on the second side. Press gently with a spatula and cook for 1 minute until both sides are golden brown with crispy, slightly charred spots. | Serve hot with white butter, yogurt, pickle (achar), and a glass of lassi — the classic Delhi-style accompaniment.",/images/dishes/paranthas.jpg
Nahari,"Nahari is a traditional non-vegetarian dish from Delhi, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/nahari,"800g Mutton shank (nalli) | 30g Whole wheat flour (atta) | 3piece Onion, thinly sliced | 40g Ginger-garlic paste | 20g Nihari masala | 8g Fennel seeds, ground | 8g Garam masala | 10g Red chilli powder | 80ml Ghee | 20g Ginger, julienned | 4piece Green chillies, slit | 2piece Lemon, sliced | 20g Fresh coriander | 15g Salt","Heat ghee in a large heavy pot. Fry sliced onions until golden brown. Remove half for garnish. | Add ginger-garlic paste to remaining onions in the pot. Cook for 2 minutes. | Add mutton shank pieces and brown on all sides for 8 minutes. | Add red chilli powder, nihari masala, ground fennel, and salt. Stir well. | Add enough water to fully submerge the meat (about 1.5 litres). Bring to boil. | Reduce heat to very low. Cover tightly and cook for 2–2.5 hours until the meat is fall-off-the-bone tender. | Mix wheat flour with a little water to make a slurry. Add to the stew and stir well to thicken the gravy. | Simmer uncovered for another 15 minutes until gravy thickens. | Add garam masala and adjust salt. | Serve garnished with julienned ginger, green chillies, fried onions, coriander, and lemon wedges.",/images/dishes/nahari.jpg
Mughlai Paratha,"Mughlai Paratha is a traditional non-vegetarian dish from Delhi, India. This authentic recipe provides exact measurements and step-by-step cooking instructions for a delicious homemade meal.",https://www.eatbystate.com/dishes/mughlai-paratha,"300g All-purpose flour (maida) | 4piece Eggs | 250g Minced mutton or chicken | 2piece Onion, finely chopped | 3piece Green chillies, finely chopped | 20g Fresh coriander, chopped | 20g Ginger-garlic paste | 8g Garam masala | 8g Red chilli powder | 80ml Ghee | 10g Salt | 150ml Water","Mix maida with salt and enough water to form a soft, pliable dough. Rest for 20 minutes. | Cook minced meat with onion, ginger-garlic paste, green chillies, red chilli powder, garam masala, and salt until dry and cooked through. Let cool. Mix in fresh coriander. | Divide dough into 4 large balls. Roll each into a thin circle on a lightly floured surface. | Whisk an egg with a pinch of salt. Place a portion of keema filling in the center of the rolled dough. | Pour beaten egg over the filling. Fold all four sides of the dough inward to form a square parcel, enclosing the filling completely. | Heat a tawa or griddle over medium heat. Place the sealed parcel seam-side down. | Press gently and cook for 3–4 minutes. Flip carefully. | Apply ghee liberally on both sides and cook until golden brown and crisp. | Cut into squares and serve hot with green chutney and sliced onions.",/images/dishes/mughlai-paratha.jpg
